mode,speedup,latency,vbench,quality,semantic,psnr,ssim,lpips
wan_dc_baseline,1.00x,224s,0.830562,0.855779,0.729695,-,-,-
wan_dc_fixed_0.05,1.78x,126s,0.814998,0.836685,0.728246,-,-,-
wan_dc_fixed_0.10,2.58x,87s,0.800670,0.828594,0.688974,-,-,-
wan_dc_fixed_0.15,3.16x,71s,0.808088,0.819435,0.762701,-,-,-
wan_dc_fixed_0.20,3.66x,61s,0.803570,0.843770,0.642769,-,-,-
wan_dc_fixed_0.25,4.03x,55s,0.733145,0.788255,0.512707,-,-,-
wan_dc_fixed_0.225,3.97x,56s,0.768701,0.820006,0.563481,-,-,-
wan_dc_adaptive_hi0.25_lo0.05,2.29x,98s,0.810721,0.832397,0.724020,-,-,-
wan_dc_adaptive_hi0.25_lo0.10,2.94x,76s,0.764281,0.812897,0.569815,-,-,-
wan_dc_adaptive_hi0.25_lo0.15,3.39x,66s,0.788699,0.832083,0.615166,-,-,-
wan_dc_adaptive_hi0.225_lo0.05,2.28x,98s,0.816351,0.835175,0.741055,-,-,-
wan_dc_adaptive_hi0.225_lo0.10,2.89x,77s,0.783698,0.820707,0.635660,-,-,-
wan_dc_adaptive_hi0.225_lo0.15,3.33x,67s,0.803014,0.838565,0.660811,-,-,-
